journey_id,journey_name,sent_nb,opening_nb,click_nb,turnover
1734,210819_nl_bb,26121,4251,438,2108.32
1762,210831_nl_formats_petits,20631,3949,443,492.52
1695,210803_nl_naturel,39325,7645,701,1299.93
1656,210720_nl_troisieme_prenom,63980,11139,1470,3940.82
1736,210819_nl_vip,13649,3861,451,6498.63
1657,210720_nl_troisieme,63973,11285,1477,3895.72
1719,210815_nl_djfrais,109433,19481,1480,3619.6
1744,210823_nl_zd,138964,22751,1998,5611.24
1724,210816_nl_summer_clair,83487,12392,1752,3096.48
1649,210718_nl_sport,96942,19902,1243,1249.09
1620,210706_nl_deuxieme,170295,29561,4831,12739.59
1674,210726_nl_rentree,86297,17963,1255,1848.56
1710,210810_nl_saveurs,39446,6189,490,582.81
1716,210812_nl_plans,66651,16754,1263,5957.28
1747,210824_nl_sdb_sto,58826,12649,1269,3560.81
1701,210805_nl_enfant_2,15151,2464,246,1516.42
1709,210809_nl_frais_2,47169,10120,759,1577.45
1676,210727_nl_lastday_18H,148955,17185,2041,5577.51
1617,210704_nl_valise,88135,17792,1787,2372.81
1655,210721_nl_hh_pillule,75860,11562,1022,3538.65
