date_date,global_note,csat_website,csat_product,csat_price,csat_delivery,orders_id,transporter,sgt
2021-08-20,1,,,,,961003,DPD Pickup,new
2021-08-20,10,,,,,963353,Chrono Pickup,new
2021-08-20,10,,,,,963117,DPD Home,new
2021-08-20,8,,,,,963815,Chrono Home,new
2021-08-21,7,,,,,964304,Chrono Pickup,new
2021-08-22,10,,,,,960467,DPD Home,new
2021-08-26,8,,,,,967052,DPD Pickup,new
2021-08-26,9,,,,,966364,Chrono Pickup,new
2021-08-27,10,,,,,968338,DPD Pickup,new
2021-08-27,,,2,,,966074,Chrono Pickup,new
2021-08-28,10,,,,,968780,DPD Pickup,new
2021-08-28,,,,4,,962054,DPD Pickup,new
2021-04-29,10,1,,1,,857363,Chrono Pickup,new
2021-05-10,10,1,,,,867347,Chrono Pickup,new
2021-05-11,10,1,5,,,868321,DPD Pickup,new
2021-05-26,0,1,,,,882714,Chrono Pickup,new
2021-05-28,10,1,1,1,1,888149,Chrono Pickup,new
2021-06-09,10,1,,,,898531,DPD Home,new
2021-06-10,6,1,,,,901244,Chrono Pickup,new
2021-06-11,9,1,,2,1,900851,DPD Pickup,new
2021-06-11,10,1,3,3,1,900769,DPD Home,new
2021-06-16,10,1,1,1,1,905637,Chrono Pickup,new
2021-07-04,7,1,1,1,1,921126,Chrono Pickup,new
2021-07-12,10,1,,,,929526,Chrono Pickup,new
2021-07-16,8,1,,,,932874,Chrono Pickup,new
2021-08-19,9,1,4,3,5,961790,Chrono Pickup,new
2021-08-27,0,1,1,1,1,966936,Chrono Pickup,new
2021-05-14,6,2,4,3,4,872849,Chrono Pickup,new
2021-05-17,10,2,3,4,5,873865,Chrono Pickup,new
2021-06-16,8,2,3,3,5,904923,DPD Pickup,new
2021-07-10,2,2,2,2,,926865,DPD Home,new
2021-07-13,3,2,4,,5,930241,Chrono Pickup,new
2021-08-01,9,2,3,2,,946840,DPD Home,new
2021-08-02,9,2,2,2,,947710,Chrono Pickup,new
2021-08-10,8,2,,,,954158,Chrono Pickup,new
2021-08-20,7,2,3,5,5,963106,DPD Home,new
2021-04-28,5,3,3,3,,855422,Chrono Pickup,new
2021-04-29,10,3,,,,856782,DPD Home,new
2021-04-29,7,3,3,1,5,855886,Chrono Pickup,new
2021-04-29,9,3,4,4,5,857185,Chrono Pickup,new
2021-05-04,10,3,3,3,4,851783,DPD Home,new
2021-05-04,3,3,4,3,,859953,Chrono Pickup,new
2021-05-05,8,3,3,3,4,863221,Chrono Pickup,new
2021-05-05,4,3,3,3,,853390,DPD Pickup,new
2021-05-05,8,3,3,3,,862813,Chrono Pickup,new
2021-05-07,1,3,3,3,1,859807,Chrono Pickup,new
2021-05-07,4,3,3,3,,866624,DPD Home,new
2021-05-07,7,3,3,4,,864511,Chrono Pickup,new
2021-05-10,4,3,4,4,,867348,Chrono Pickup,new
2021-05-10,9,3,3,4,5,868325,DPD Home,new
2021-05-14,5,3,,2,2,867791,DPD Home,new
2021-05-14,10,3,3,3,5,872643,Chrono Pickup,new
2021-05-16,9,3,4,2,5,867078,Chrono Pickup,new
2021-05-17,7,3,4,4,2,873943,Chrono Pickup,new
2021-05-18,8,3,,,,874492,DPD Home,new
2021-05-20,6,3,3,3,2,879973,Chrono Pickup,new
2021-05-20,7,3,4,3,5,879500,Chrono Pickup,new
2021-05-21,6,3,3,3,3,882045,Chrono Pickup,new
2021-05-22,1,3,3,4,3,883117,Chrono Pickup,new
2021-05-27,9,3,4,3,4,886554,DPD Home,new
2021-05-27,0,3,4,3,1,887024,Chrono Home,new
2021-05-27,5,3,4,4,1,886218,Chrono Pickup,new
2021-05-29,8,3,,3,5,888463,Chrono Pickup,new
2021-05-29,8,3,4,4,2,888498,DPD Home,new
2021-05-31,6,3,2,2,,884414,DPD Pickup,new
2021-05-31,2,3,3,3,3,888654,DPD Home,new
2021-06-02,7,3,3,3,5,888994,DPD Home,new
2021-06-02,6,3,3,4,4,890081,Chrono Pickup,new
2021-06-03,8,3,3,3,5,892796,DPD Home,new
2021-06-03,8,3,4,4,5,894273,Chrono Home,new
2021-06-03,10,3,5,5,5,880673,Chrono Pickup,new
2021-06-04,7,3,5,4,5,895377,DPD Home,new
2021-06-05,10,3,3,3,5,894918,Chrono Pickup,new
2021-06-08,10,3,4,3,5,896519,DPD Pickup,new
2021-06-09,5,3,3,4,4,897825,Chrono Pickup,new
2021-06-10,5,3,4,3,1,895021,Chrono Pickup,new
2021-06-11,5,3,3,3,4,895486,DPD Home,new
2021-06-12,6,3,4,1,2,900963,DPD Home,new
2021-06-15,7,3,4,4,4,902667,DPD Home,new
2021-06-15,10,3,5,4,5,905275,Chrono Home,new
2021-06-16,8,3,3,2,5,905456,DPD Home,new
2021-06-16,10,3,4,5,5,905000,DPD Home,new
2021-06-17,6,3,3,2,5,905392,DPD Home,new
2021-06-17,5,3,3,3,,906727,Chrono Pickup,new
2021-06-19,10,3,,2,5,905897,DPD Pickup,new
2021-06-19,7,3,4,3,4,908605,DPD Home,new
2021-06-22,9,3,3,3,4,908432,DPD Pickup,new
2021-06-22,9,3,4,4,5,910140,Chrono Pickup,new
2021-06-25,10,3,3,4,5,914454,DPD Home,new
2021-06-25,9,3,4,4,5,913093,Chrono Pickup,new
2021-06-27,3,3,4,3,1,914434,Chrono Pickup,new
2021-06-27,8,3,4,4,4,914833,DPD Home,new
2021-06-30,0,3,3,3,,909634,DPD Pickup,new
2021-06-30,7,3,4,3,5,914832,DPD Home,new
2021-07-02,7,3,4,4,5,921001,Chrono Pickup,new
2021-07-06,1,3,4,4,,918545,DPD Pickup,new
2021-07-07,0,3,3,3,1,917126,DPD Pickup,new
2021-07-07,8,3,4,4,,925953,Chrono Pickup,new
2021-07-09,5,3,3,3,3,925788,DPD Home,new
2021-07-09,7,3,4,4,4,921417,DPD Home,new
2021-07-13,2,3,3,3,1,929453,Chrono Home,new
2021-07-13,9,3,4,4,4,924482,DPD Home,new
2021-07-13,10,3,4,5,5,932289,DPD Home,new
2021-07-13,5,3,5,5,1,930544,Chrono Home,new
2021-07-15,8,3,3,2,5,930905,DPD Home,new
2021-07-15,10,3,4,3,5,932656,DPD Home,new
2021-07-16,8,3,3,3,5,930708,DPD Pickup,new
2021-07-16,9,3,3,5,2,930333,DPD Pickup,new
2021-07-17,4,3,3,2,3,933313,DPD Home,new
2021-07-17,10,3,,3,5,933505,DPD Pickup,new
2021-07-17,10,3,4,4,5,934270,Chrono Pickup,new
2021-07-22,1,3,4,3,5,937674,Chrono Pickup,new
2021-07-23,8,3,3,3,4,938515,DPD Home,new
2021-07-25,8,3,4,3,4,938350,DPD Pickup,new
2021-07-27,10,3,3,3,5,942726,Chrono Home,new
2021-07-28,3,3,3,2,1,940812,DPD Home,new
2021-07-31,4,3,3,3,1,945597,DPD Home,new
2021-08-01,9,3,4,3,5,944779,Chrono Pickup,new
2021-08-04,6,3,3,3,4,949229,Chrono Pickup,new
2021-08-05,0,3,3,3,,943654,Chrono Pickup,new
2021-08-06,7,3,3,4,4,944772,DPD Pickup,new
2021-08-06,4,3,4,4,1,944343,Chrono Pickup,new
2021-08-06,10,3,5,5,5,951306,DPD Pickup,new
2021-08-07,8,3,4,4,5,952493,Chrono Pickup,new
2021-08-10,4,3,5,3,,951731,DPD Home,new
2021-08-10,0,3,3,3,,953880,Chrono Pickup,new
2021-08-11,9,3,5,4,5,955414,Chrono Pickup,new
2021-08-11,8,3,3,4,5,952491,DPD Pickup,new
2021-08-13,2,3,3,2,,951807,DPD Pickup,new
2021-08-14,10,3,5,4,5,958710,Chrono Pickup,new
2021-08-17,0,3,2,2,1,954287,DPD Pickup,new
2021-08-17,6,3,3,3,4,959065,Chrono Pickup,new
2021-08-17,6,3,5,4,,957788,DPD Home,new
2021-08-17,9,3,4,4,,959346,DPD Home,new
2021-08-19,8,3,2,3,4,960381,Chrono Pickup,new
2021-08-19,9,3,4,4,5,961264,Chrono Pickup,new
2021-08-20,7,3,5,4,5,962245,DPD Home,new
2021-08-22,10,3,4,3,1,963851,DPD Home,new
2021-08-24,10,3,4,2,3,964431,DPD Home,new
2021-08-24,8,3,4,4,5,964705,Chrono Pickup,new
2021-08-28,5,3,3,,,968277,DPD Home,new
2021-08-28,10,3,5,4,5,969751,DPD Home,new
2021-04-28,8,4,,3,3,855287,Chrono Pickup,new
2021-04-28,9,4,4,3,,854829,Chrono Pickup,new
2021-04-28,9,4,4,3,5,855576,Chrono Pickup,new
2021-04-28,8,4,4,4,5,855588,DPD Home,new
2021-04-28,7,4,4,4,,855752,Chrono Pickup,new
2021-04-28,8,4,4,4,,855050,Chrono Pickup,new
2021-04-29,8,4,3,2,,856718,DPD Home,new
2021-04-29,8,4,4,2,,856399,DPD Home,new
2021-04-29,6,4,3,3,,856275,Chrono Pickup,new
2021-04-29,10,4,4,3,,856713,Chrono Pickup,new
2021-04-29,10,4,3,3,,857548,Chrono Pickup,new
2021-04-29,10,4,4,3,,857298,Chrono Pickup,new
2021-04-29,9,4,4,3,5,854992,Chrono Pickup,new
2021-04-29,9,4,4,4,5,856241,Chrono Pickup,new
2021-04-29,8,4,4,4,5,856761,Chrono Pickup,new
2021-04-29,9,4,4,4,,856630,Chrono Pickup,new
2021-04-29,7,4,4,4,4,856329,Chrono Pickup,new
2021-04-29,9,4,5,4,5,857281,DPD Home,new
2021-04-30,7,4,1,1,,857779,DPD Home,new
2021-04-30,8,4,4,3,,859094,DPD Home,new
2021-04-30,6,4,3,3,4,857747,Chrono Pickup,new
2021-04-30,9,4,4,3,5,857605,Chrono Pickup,new
2021-04-30,10,4,4,3,5,857699,Chrono Pickup,new
2021-04-30,8,4,4,4,5,858609,Chrono Pickup,new
2021-04-30,9,4,4,4,5,855901,DPD Home,new
2021-04-30,8,4,4,4,5,857695,DPD Home,new
2021-04-30,10,4,4,4,4,857448,Chrono Pickup,new
2021-04-30,10,4,4,4,5,858956,DPD Home,new
2021-04-30,9,4,5,4,5,858323,Chrono Pickup,new
2021-04-30,9,4,3,4,5,858156,Chrono Pickup,new
2021-04-30,9,4,4,4,5,858417,Chrono Pickup,new
2021-04-30,10,4,4,4,5,858423,Chrono Pickup,new
2021-04-30,9,4,5,5,5,856934,Chrono Pickup,new
2021-05-01,9,4,4,4,3,853822,DPD Pickup,new
2021-05-01,10,4,5,4,5,858371,Chrono Pickup,new
2021-05-02,10,4,5,3,5,858645,Chrono Pickup,new
2021-05-03,8,4,4,3,,859374,Chrono Pickup,new
2021-05-03,7,4,4,3,5,858402,DPD Home,new
2021-05-03,8,4,3,3,5,859963,Chrono Pickup,new
2021-05-03,10,4,,4,5,858856,DPD Home,new
2021-05-03,10,4,4,4,5,858080,Chrono Pickup,new
2021-05-03,10,4,,4,5,857500,Chrono Pickup,new
2021-05-03,10,4,4,4,,858516,DPD Home,new
2021-05-03,10,4,4,4,,859686,Chrono Pickup,new
2021-05-03,9,4,4,4,,857702,Chrono Pickup,new
2021-05-03,8,4,4,4,,860160,Chrono Pickup,new
2021-05-04,8,4,3,3,4,857237,Chrono Pickup,new
2021-05-04,8,4,3,3,4,860714,Chrono Pickup,new
2021-05-04,7,4,4,3,5,860313,Chrono Pickup,new
2021-05-04,7,4,4,3,3,860722,Chrono Pickup,new
2021-05-04,9,4,5,3,5,860543,Chrono Pickup,new
2021-05-04,9,4,4,4,5,860584,Chrono Pickup,new
2021-05-04,10,4,4,4,,860577,Chrono Pickup,new
2021-05-04,8,4,5,4,,859247,DPD Pickup,new
2021-05-04,9,4,4,4,5,860518,Chrono Pickup,new
2021-05-04,7,4,3,4,4,860809,DPD Home,new
2021-05-04,10,4,4,4,5,859738,Chrono Pickup,new
2021-05-04,8,4,4,4,,860016,Chrono Pickup,new
2021-05-05,9,4,4,3,,862114,Chrono Pickup,new
2021-05-05,8,4,4,3,4,863223,Chrono Pickup,new
2021-05-05,6,4,4,3,4,860233,DPD Home,new
2021-05-05,8,4,4,4,5,863082,Chrono Pickup,new
2021-05-05,8,4,4,4,3,857712,Chrono Pickup,new
2021-05-05,8,4,4,4,2,860748,Chrono Pickup,new
2021-05-05,10,4,4,4,5,862329,DPD Home,new
2021-05-05,9,4,4,4,,857664,Chrono Home,new
2021-05-05,8,4,4,4,4,860891,Chrono Pickup,new
2021-05-05,10,4,5,4,4,863048,DPD Home,new
2021-05-05,9,4,4,4,5,862636,DPD Home,new
2021-05-05,9,4,4,5,,845394,DPD Pickup,new
2021-05-05,8,4,4,5,5,863466,Chrono Pickup,new
2021-05-05,8,4,5,5,4,863316,Chrono Pickup,new
2021-05-06,10,4,4,2,5,862363,Chrono Pickup,new
2021-05-06,4,4,4,3,,861801,Chrono Pickup,new
2021-05-06,10,4,3,3,5,865130,Chrono Pickup,new
2021-05-06,8,4,4,3,,861666,Chrono Pickup,new
2021-05-06,10,4,4,4,4,862434,Chrono Pickup,new
2021-05-06,9,4,4,4,4,863882,Chrono Pickup,new
2021-05-06,8,4,4,4,5,863143,Chrono Pickup,new
2021-05-06,9,4,5,4,,848785,Chrono Pickup,new
2021-05-06,7,4,4,4,5,863354,DPD Home,new
2021-05-06,7,4,4,4,4,864884,Chrono Pickup,new
2021-05-06,10,4,4,4,,864449,Chrono Pickup,new
2021-05-06,8,4,4,4,,863772,Chrono Pickup,new
2021-05-06,9,4,4,4,5,866173,Chrono Home,new
2021-05-06,8,4,4,4,5,864128,Chrono Pickup,new
2021-05-07,8,4,4,3,,864176,Chrono Pickup,new
2021-05-07,5,4,5,3,5,865808,Chrono Pickup,new
2021-05-07,10,4,3,3,,866739,DPD Home,new
2021-05-07,7,4,4,3,4,866077,Chrono Pickup,new
2021-05-07,4,4,4,3,,855308,DPD Pickup,new
2021-05-07,8,4,4,3,5,863182,Chrono Pickup,new
2021-05-07,9,4,5,4,,866668,Chrono Pickup,new
2021-05-07,9,4,4,4,4,861159,Chrono Pickup,new
2021-05-07,8,4,4,4,4,863625,Chrono Pickup,new
2021-05-07,8,4,4,4,,865391,Chrono Pickup,new
2021-05-07,8,4,4,4,,863430,Chrono Pickup,new
2021-05-07,9,4,4,4,4,865613,Chrono Pickup,new
2021-05-07,8,4,4,4,4,864752,Chrono Pickup,new
2021-05-07,10,4,4,4,,863960,DPD Home,new
2021-05-07,10,4,4,5,5,866369,Chrono Home,new
2021-05-07,9,4,4,5,4,865899,Chrono Pickup,new
2021-05-07,5,4,3,5,5,867881,Chrono Home,new
2021-05-08,7,4,4,3,4,864692,Chrono Pickup,new
2021-05-08,10,4,4,4,4,866937,Chrono Pickup,new
2021-05-08,5,4,4,4,3,864244,Chrono Pickup,new
2021-05-10,6,4,3,3,2,864581,Chrono Pickup,new
2021-05-10,10,4,4,3,5,866986,Chrono Pickup,new
2021-05-10,9,4,3,4,,868965,Chrono Pickup,new
2021-05-10,9,4,4,4,5,868993,Chrono Pickup,new
2021-05-10,9,4,4,4,5,867953,Chrono Pickup,new
2021-05-10,10,4,4,4,5,867738,Chrono Pickup,new
2021-05-10,8,4,5,5,,867855,Chrono Pickup,new
2021-05-11,8,4,,,,867715,DPD Home,new
2021-05-11,8,4,1,1,5,867346,DPD Pickup,new
2021-05-11,8,4,,2,5,866612,Chrono Pickup,new
2021-05-11,8,4,5,2,2,866582,Chrono Pickup,new
2021-05-11,8,4,4,3,5,868593,Chrono Pickup,new
2021-05-11,7,4,4,3,5,867785,DPD Home,new
2021-05-11,8,4,3,3,5,869425,Chrono Pickup,new
2021-05-11,9,4,4,4,4,868299,DPD Home,new
2021-05-11,9,4,4,4,5,869698,Chrono Pickup,new
2021-05-11,10,4,4,4,5,868673,Chrono Pickup,new
2021-05-11,9,4,4,4,5,867695,DPD Home,new
2021-05-11,8,4,4,4,5,869043,DPD Pickup,new
2021-05-11,8,4,4,4,5,870044,DPD Pickup,new
2021-05-11,9,4,4,4,5,870271,Chrono Home,new
2021-05-11,10,4,4,4,4,865150,DPD Home,new
2021-05-11,10,4,5,5,5,867586,Chrono Pickup,new
2021-05-12,8,4,3,3,5,871496,Chrono Pickup,new
2021-05-12,,4,3,3,5,871447,Chrono Pickup,new
2021-05-12,8,4,4,4,4,867812,DPD Home,new
2021-05-12,9,4,4,4,5,871649,DPD Pickup,new
2021-05-12,9,4,4,4,3,867256,Chrono Pickup,new
2021-05-12,10,4,4,4,5,870848,Chrono Pickup,new
2021-05-12,10,4,4,4,5,870174,Chrono Pickup,new
2021-05-12,9,4,4,4,4,868578,Chrono Pickup,new
2021-05-12,8,4,4,4,3,871084,Chrono Pickup,new
2021-05-12,9,4,4,4,5,867699,DPD Home,new
2021-05-12,8,4,4,4,5,871011,Chrono Pickup,new
2021-05-12,7,4,4,4,2,869703,Chrono Home,new
2021-05-12,10,4,5,4,5,872007,Chrono Pickup,new
2021-05-12,10,4,5,5,5,870960,Chrono Pickup,new
2021-05-13,10,4,4,3,4,861629,DPD Pickup,new
2021-05-13,9,4,5,4,5,869961,DPD Home,new
2021-05-13,7,4,4,4,2,852545,DPD Pickup,new
2021-05-14,10,4,3,2,5,873275,Chrono Pickup,new
2021-05-14,7,4,5,4,2,872938,Chrono Pickup,new
2021-05-14,8,4,4,4,4,873255,Chrono Pickup,new
2021-05-14,9,4,4,4,5,873392,DPD Home,new
2021-05-14,10,4,3,4,5,871838,Chrono Pickup,new
2021-05-14,9,4,2,4,5,872588,DPD Home,new
2021-05-14,6,4,4,4,5,872831,Chrono Pickup,new
2021-05-14,10,4,4,4,5,870421,DPD Home,new
2021-05-14,3,4,5,5,,872943,Chrono Pickup,new
2021-05-14,10,4,4,5,5,872970,DPD Pickup,new
2021-05-14,8,4,5,5,,868517,Chrono Pickup,new
2021-05-15,8,4,4,3,4,875898,Chrono Pickup,new
2021-05-15,8,4,4,3,5,875210,Chrono Pickup,new
2021-05-15,10,4,3,3,5,874015,Chrono Pickup,new
2021-05-15,8,4,4,4,5,875696,Chrono Pickup,new
2021-05-15,8,4,3,4,5,872175,DPD Home,new
2021-05-15,6,4,5,4,4,872333,DPD Home,new
2021-05-15,8,4,4,4,2,870811,Chrono Pickup,new
2021-05-15,10,4,4,4,5,873366,DPD Pickup,new
2021-05-15,9,4,4,5,5,876571,Chrono Pickup,new
2021-05-15,9,4,5,5,5,875253,Chrono Pickup,new
2021-05-15,8,4,5,5,3,876045,Chrono Home,new
2021-05-15,9,4,4,5,5,875204,DPD Home,new
2021-05-16,9,4,4,3,5,875287,Chrono Pickup,new
2021-05-17,9,4,4,3,5,871748,Chrono Pickup,new
2021-05-17,8,4,3,3,4,873610,Chrono Pickup,new
2021-05-17,3,4,4,4,,873498,Chrono Pickup,new
2021-05-17,2,4,4,4,,874884,Chrono Pickup,new
2021-05-17,7,4,5,4,4,871539,DPD Home,new
2021-05-17,8,4,4,4,4,871701,DPD Home,new
2021-05-18,8,4,5,3,5,876409,Chrono Pickup,new
2021-05-18,8,4,4,4,5,874767,DPD Home,new
2021-05-18,9,4,4,4,4,871786,DPD Pickup,new
2021-05-18,8,4,4,4,4,874045,DPD Home,new
2021-05-18,10,4,4,4,4,874794,Chrono Pickup,new
2021-05-18,10,4,4,4,5,875290,Chrono Pickup,new
2021-05-18,8,4,5,5,5,876171,Chrono Pickup,new
2021-05-19,7,4,4,2,4,878606,Chrono Pickup,new
2021-05-19,5,4,4,2,,875279,Chrono Pickup,new
2021-05-19,7,4,3,3,5,879388,Chrono Pickup,new
2021-05-19,9,4,4,3,5,878430,Chrono Pickup,new
2021-05-19,10,4,5,3,5,878273,Chrono Pickup,new
2021-05-19,4,4,3,3,,877262,Chrono Pickup,new
2021-05-19,9,4,4,4,3,878065,DPD Home,new
2021-05-19,7,4,4,4,4,877042,DPD Home,new
2021-05-19,8,4,4,4,5,870691,DPD Pickup,new
2021-05-19,8,4,4,4,5,877196,Chrono Pickup,new
2021-05-19,5,4,4,4,,878330,DPD Home,new
2021-05-19,10,4,5,5,5,878368,Chrono Pickup,new
2021-05-20,9,4,4,,,878232,DPD Home,new
2021-05-20,1,4,4,3,,867218,Chrono Home,new
2021-05-20,10,4,4,3,5,878657,Chrono Pickup,new
2021-05-20,9,4,4,3,3,875553,DPD Home,new
2021-05-20,6,4,4,3,2,878345,Chrono Pickup,new
2021-05-20,8,4,4,4,5,878199,DPD Home,new
2021-05-20,10,4,5,4,5,871382,Chrono Pickup,new
2021-05-20,8,4,4,4,5,876733,Chrono Pickup,new
2021-05-20,10,4,4,4,5,875719,DPD Home,new
2021-05-20,9,4,4,4,5,875949,DPD Pickup,new
2021-05-20,7,4,4,4,5,880150,Chrono Pickup,new
2021-05-20,8,4,4,4,4,872285,Chrono Pickup,new
2021-05-20,10,4,5,4,5,878904,DPD Home,new
2021-05-20,8,4,4,4,4,881278,DPD Home,new
2021-05-20,10,4,5,4,5,875940,DPD Pickup,new
2021-05-20,3,4,5,4,,873102,Chrono Pickup,new
2021-05-20,9,4,4,4,5,881080,Chrono Pickup,new
2021-05-21,8,4,3,3,5,881408,DPD Pickup,new
2021-05-21,8,4,4,3,5,881279,Chrono Home,new
2021-05-21,9,4,4,4,5,880194,DPD Home,new
2021-05-21,8,4,5,4,5,879872,Chrono Pickup,new
2021-05-21,10,4,4,4,4,878746,DPD Home,new
2021-05-21,9,4,4,4,5,878914,Chrono Pickup,new
2021-05-21,9,4,4,4,4,878634,DPD Home,new
2021-05-21,10,4,4,4,5,881115,Chrono Pickup,new
2021-05-21,9,4,4,4,4,879600,DPD Home,new
2021-05-21,8,4,4,4,5,881422,Chrono Pickup,new
